depart,arrival,duration,routeLength,waitingTime,timeLoss,vType,rerouteNo,departSpeed,arrivalSpeed
36.0,332.0,296.0,3109.85,13.0,50.77,veh_passenger,1,0.0,7.64
73.0,332.0,259.0,3659.3,0.0,29.62,veh_passenger,1,0.0,7.91
147.0,332.0,185.0,1258.73,5.0,26.22,veh_passenger,1,0.0,7.92
203.0,335.0,132.0,905.17,0.0,13.7,veh_passenger,1,0.0,6.91
155.0,336.0,181.0,1799.06,4.0,25.83,veh_passenger,1,0.0,8.13
104.0,343.0,239.0,2520.97,10.0,57.28,veh_passenger,1,0.0,8.8
152.0,343.0,191.0,2092.91,8.0,35.27,veh_passenger,1,0.0,14.35
119.0,345.0,226.0,1988.09,1.0,27.26,veh_passenger,1,0.0,11.66
275.0,345.0,70.0,541.87,0.0,8.18,DEFAULT_VEHTYPE,1,0.0,12.75
47.0,346.0,299.0,2605.86,2.0,39.84,veh_passenger,1,0.0,7.23
135.0,346.0,211.0,1383.06,26.0,49.86,veh_passenger,1,0.0,6.05
139.0,346.0,207.0,2181.0,0.0,26.01,veh_passenger,1,0.0,10.13
53.0,347.0,294.0,2505.55,0.0,37.44,veh_passenger,1,0.0,5.92
99.0,349.0,250.0,2545.69,25.0,54.36,veh_passenger,1,0.0,8.05
5.0,351.0,346.0,5079.65,17.0,55.76,veh_passenger,1,0.0,19.97
27.0,352.0,325.0,3152.29,48.0,107.0,veh_passenger,1,0.0,21.02
113.0,352.0,239.0,1906.76,55.0,92.04,veh_passenger,1,0.0,7.76
11.0,353.0,342.0,4889.72,31.0,65.92,veh_passenger,1,0.0,15.03
196.0,353.0,157.0,1564.52,0.0,28.76,veh_passenger,1,4.88,6.67
186.0,358.0,172.0,1540.78,6.0,44.48,veh_passenger,1,0.0,7.42
97.0,360.0,263.0,3337.47,0.0,37.12,veh_passenger,1,0.0,6.99
41.0,362.0,321.0,4268.11,0.0,45.34,veh_passenger,1,0.0,8.35
67.0,362.0,295.0,2721.41,5.0,42.33,veh_passenger,1,0.0,7.22
112.0,362.0,250.0,2045.15,44.0,79.82,veh_passenger,1,0.0,8.12
293.0,362.0,69.0,541.87,0.0,6.79,DEFAULT_VEHTYPE,1,0.0,13.66
206.0,363.0,157.0,1069.27,35.0,64.96,bus_bus,1,0.0,8.0
195.0,364.0,169.0,2027.95,2.0,21.74,veh_passenger,1,0.0,8.95
200.0,367.0,167.0,1708.44,0.0,28.96,bus_bus,1,0.0,8.3
27.0,368.0,341.0,4217.38,4.0,52.68,veh_passenger,1,0.0,8.12
208.0,368.0,160.0,1449.64,0.0,17.84,veh_passenger,1,0.0,2.72
121.0,369.0,248.0,2493.74,3.0,45.79,veh_passenger,1,0.0,14.89
281.0,370.0,89.0,945.16,17.0,38.75,bus_bus,1,0.0,11.51
155.0,371.0,216.0,2322.8,1.0,29.67,veh_passenger,1,7.84,8.97
122.0,372.0,250.0,2384.23,0.0,22.03,veh_passenger,1,0.0,7.18
128.0,373.0,245.0,2965.04,13.0,75.95,veh_passenger,1,0.0,13.9
218.0,373.0,155.0,1281.01,0.0,22.82,bus_bus,1,0.0,8.23
61.0,374.0,313.0,8122.26,0.0,21.15,veh_passenger,1,30.55,8.37
0.0,377.0,377.0,4572.98,20.0,80.12,veh_passenger,1,0.0,8.55
63.0,378.0,315.0,2757.11,40.0,81.42,veh_passenger,1,0.0,8.96
147.0,378.0,231.0,3102.44,15.0,43.93,veh_passenger,1,0.0,23.4
134.0,379.0,245.0,2561.89,42.0,72.15,veh_passenger,1,0.0,8.57
232.0,380.0,148.0,1169.37,16.0,50.53,bus_bus,1,0.0,8.07
159.0,382.0,223.0,2435.67,14.0,56.49,veh_passenger,1,0.0,14.51
284.0,382.0,98.0,727.5,0.0,9.3,bus_bus,1,0.0,8.3
4.0,383.0,379.0,4657.95,16.0,57.32,veh_passenger,1,9.35,8.25
69.0,383.0,314.0,3602.54,56.0,105.98,veh_passenger,1,0.0,14.1
216.0,384.0,168.0,1013.83,52.0,76.19,veh_passenger,1,0.0,8.29
98.0,389.0,291.0,4306.25,0.0,39.56,veh_passenger,1,0.0,13.73
196.0,390.0,194.0,2117.48,21.0,52.7,bus_bus,1,0.0,13.39
164.0,391.0,227.0,2582.3,1.0,43.93,veh_passenger,1,0.0,10.07
81.0,393.0,312.0,76.39,301.0,302.47,veh_passenger,0,7.92,6.91
215.0,393.0,178.0,1599.95,1.0,27.86,veh_passenger,1,7.66,8.12
94.0,394.0,300.0,2557.26,58.0,92.14,veh_passenger,1,0.0,7.43
