id,depart,arrival,duration,routeLength,waitingTime,timeLoss,vType,rerouteNo,departSpeed,arrivalSpeed
bus751,695.0,1704.0,1009.0,11990.98,121.0,285.42,bus_bus,1,0.0,7.9
bus1397,1292.0,1705.0,413.0,5043.71,1.0,72.81,bus_bus,1,0.0,13.75
bus1486,1374.0,1705.0,331.0,3662.11,8.0,70.12,bus_bus,1,0.0,7.84
veh4035,1244.0,1705.0,461.0,5307.82,12.0,129.62,veh_passenger,1,0.0,7.72
veh1711,528.0,1706.0,1178.0,13503.95,138.0,324.54,veh_passenger,1,0.0,12.67
bus688,636.0,1708.0,1072.0,14517.41,215.0,318.9,bus_bus,1,0.0,8.32
veh3922,1209.0,1710.0,501.0,8495.89,32.0,98.51,veh_passenger,1,0.0,7.34
myflow3.57,1416.0,1710.0,294.0,1727.56,39.0,89.02,DEFAULT_VEHTYPE,1,0.0,6.39
veh2785,859.0,1711.0,852.0,8924.18,78.0,253.35,veh_passenger,1,8.75,7.66
veh4121,1270.0,1711.0,441.0,10826.33,7.0,47.92,veh_passenger,1,30.27,24.12
veh2782,858.0,1712.0,854.0,11032.98,145.0,249.25,veh_passenger,1,8.54,13.92
veh2798,863.0,1712.0,849.0,9182.63,82.0,179.16,veh_passenger,1,0.0,6.74
veh4337,1341.0,1712.0,371.0,2809.82,72.0,150.53,veh_passenger,1,0.0,14.18
truck3069,1422.0,1712.0,290.0,1975.33,92.0,150.02,truck_truck,1,0.0,14.01
myflow1.88,1640.0,1713.0,73.0,541.87,0.0,7.21,DEFAULT_VEHTYPE,1,0.0,12.78
veh1207,372.0,1715.0,1343.0,15131.07,306.0,564.58,veh_passenger,1,0.0,23.36
truck1090,504.0,1716.0,1212.0,7753.06,299.0,535.31,truck_truck,1,0.0,7.77
veh4278,1318.0,1716.0,398.0,4143.72,47.0,115.58,veh_passenger,1,0.0,8.66
veh344,106.0,1718.0,1612.0,13566.72,776.0,937.35,veh_passenger,1,0.0,4.7
veh4365,1345.0,1718.0,373.0,4222.94,0.0,45.31,veh_passenger,1,0.0,6.71
truck3094,1430.0,1718.0,288.0,2794.29,11.0,75.41,truck_truck,1,0.0,13.64
bus457,423.0,1719.0,1296.0,19045.22,103.0,291.71,bus_bus,1,0.0,5.49
bus1459,1349.0,1719.0,370.0,3799.35,24.0,82.61,bus_bus,1,0.0,13.54
veh4289,1322.0,1719.0,397.0,4176.14,42.0,91.58,veh_passenger,1,0.0,4.27
myflow3.58,1424.0,1720.0,296.0,1727.56,44.0,132.85,DEFAULT_VEHTYPE,1,0.0,8.62
veh4732,1458.0,1721.0,263.0,2205.63,4.0,41.04,veh_passenger,1,0.0,3.52
veh2629,810.0,1722.0,912.0,13931.66,217.0,315.1,veh_passenger,1,0.0,26.29
bus1405,1299.0,1723.0,424.0,4721.7,33.0,105.11,bus_bus,1,0.0,8.29
bus1570,1452.0,1724.0,272.0,2822.5,0.0,22.93,bus_bus,1,4.17,13.47
myflow3.59,1435.0,1725.0,290.0,1727.56,30.0,82.2,DEFAULT_VEHTYPE,1,0.0,6.95
veh4338,1337.0,1726.0,389.0,2993.13,10.0,72.44,veh_passenger,1,0.0,6.87
veh4395,1355.0,1726.0,371.0,4059.17,41.0,108.49,veh_passenger,1,0.0,13.9
bus1575,1456.0,1727.0,271.0,2644.94,6.0,74.47,bus_bus,1,0.0,8.27
veh1673,516.0,1728.0,1212.0,11746.34,338.0,621.77,veh_passenger,1,0.0,15.09
veh3805,1173.0,1728.0,555.0,5504.95,69.0,176.79,veh_passenger,1,0.0,7.84
veh4114,1268.0,1728.0,460.0,4387.22,83.0,155.45,veh_passenger,1,15.42,8.06
veh4554,1404.0,1728.0,324.0,3950.95,0.0,55.67,veh_passenger,1,0.0,7.19
myflow1.89,1658.0,1728.0,70.0,541.87,0.0,7.87,DEFAULT_VEHTYPE,1,0.0,13.5
bus467,432.0,1729.0,1297.0,13940.35,216.0,512.44,bus_bus,1,0.0,8.25
bus783,724.0,1729.0,1005.0,12614.3,42.0,214.5,bus_bus,1,0.0,3.93
veh3832,1181.0,1729.0,548.0,4705.06,80.0,230.86,veh_passenger,1,0.0,8.04
veh4471,1378.0,1730.0,352.0,3108.68,43.0,104.96,veh_passenger,1,0.0,12.16
bus704,651.0,1731.0,1080.0,9919.14,306.0,496.7,bus_bus,1,0.0,8.2
veh2696,831.0,1731.0,900.0,10952.77,20.0,134.3,veh_passenger,1,0.0,6.73
veh2826,873.0,1731.0,858.0,6551.1,147.0,283.22,veh_passenger,1,0.0,7.86
veh4036,1244.0,1731.0,487.0,6307.59,8.0,63.74,veh_passenger,1,0.0,11.05
veh4169,1285.0,1732.0,447.0,4866.8,4.0,82.14,veh_passenger,1,0.0,8.16
bus702,649.0,1733.0,1084.0,11710.21,157.0,371.03,bus_bus,1,0.0,8.13
veh2742,845.0,1733.0,888.0,9295.23,38.0,139.28,veh_passenger,1,0.0,9.98
veh3874,1194.0,1733.0,539.0,3482.61,120.0,203.33,veh_passenger,1,0.0,7.71
truck3006,1390.0,1733.0,343.0,3320.15,13.0,64.92,truck_truck,1,0.0,7.76
veh4190,1291.0,1735.0,444.0,3765.71,67.0,126.68,veh_passenger,1,0.0,7.18
veh4324,1333.0,1735.0,402.0,3746.13,42.0,88.77,veh_passenger,1,0.0,8.23
veh4853,1496.0,1736.0,240.0,2696.12,0.0,50.17,veh_passenger,1,0.0,8.33
veh4414,1360.0,1737.0,377.0,2546.76,76.0,139.33,veh_passenger,1,0.0,8.38
truck3053,1411.0,1737.0,326.0,3251.14,16.0,79.89,truck_truck,1,0.0,10.42
bus556,514.0,1738.0,1224.0,11726.41,268.0,488.78,bus_bus,1,0.0,8.27
veh2808,866.0,1738.0,872.0,8204.52,94.0,248.92,veh_passenger,1,7.75,7.11
veh3810,1174.0,1738.0,564.0,6471.56,4.0,86.78,veh_passenger,1,0.0,7.64
veh4527,1395.0,1739.0,344.0,2551.69,0.0,39.82,veh_passenger,1,0.0,3.14
truck3082,1425.0,1739.0,314.0,3148.7,0.0,37.43,truck_truck,1,0.0,8.21
veh4835,1490.0,1743.0,253.0,2389.69,0.0,29.65,veh_passenger,1,0.0,8.72
veh4566,1407.0,1744.0,337.0,4479.71,5.0,72.11,veh_passenger,1,0.0,7.87
truck2938,1359.0,1744.0,385.0,3323.26,62.0,133.35,truck_truck,1,0.0,10.15
myflow3.48,1332.0,1744.0,412.0,2371.28,119.0,159.42,DEFAULT_VEHTYPE,1,0.0,7.5
veh4057,1250.0,1745.0,495.0,6322.24,4.0,123.51,veh_passenger,1,0.0,8.12
veh4823,1492.0,1745.0,253.0,3735.92,2.0,82.94,veh_passenger,1,0.0,12.3
veh1747,539.0,1747.0,1208.0,14123.25,192.0,398.13,veh_passenger,1,0.0,12.41
veh3946,1216.0,1747.0,531.0,4439.82,113.0,200.1,veh_passenger,1,0.0,6.34
bus1474,1363.0,1747.0,384.0,3823.53,8.0,64.65,bus_bus,1,0.0,7.88
veh2751,848.0,1748.0,900.0,9532.86,116.0,352.94,veh_passenger,1,0.0,9.58
bus1391,1286.0,1748.0,462.0,3817.59,90.0,174.7,bus_bus,1,0.0,13.56
veh4608,1420.0,1748.0,328.0,3122.28,24.0,81.49,veh_passenger,1,0.0,7.98
veh4241,1307.0,1749.0,442.0,4613.02,5.0,87.91,veh_passenger,1,0.0,7.88
myflow1.90,1675.0,1749.0,74.0,541.87,0.0,7.73,DEFAULT_VEHTYPE,1,0.0,13.37
veh4455,1373.0,1750.0,377.0,3527.79,48.0,125.37,veh_passenger,1,0.0,12.83
veh2661,820.0,1751.0,931.0,10404.49,10.0,170.85,veh_passenger,1,8.29,8.23
